bridge_certified,cells,completed,completion_probability,max_abs_bridge_delta_cx,max_abs_bridge_delta_depth,max_abs_bridge_delta_gates,median_bridge_delta_cx,median_bridge_delta_depth,median_bridge_delta_gates,median_bridge_delta_ir_bytes,median_bridge_serialized_bytes,median_certificate_gate_ratio,median_certificate_output_cx,median_certificate_output_depth,median_certificate_output_gates,median_certificate_output_ir_bytes,median_compiler_runtime_s,median_native_output_cx,median_native_output_depth,median_native_output_gates,median_native_output_ir_bytes,median_pre_bridge_cx,median_pre_bridge_depth,median_pre_bridge_gates,median_pre_bridge_ir_bytes,median_rss_peak_bytes,median_wall_runtime_s,representation,status_completed,status_correctness_failure,status_memory_error,status_predicate_error,status_timeout,status_unsupported,tool
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1494.5,1.2291666666666665,37.0,13.5,48.0,7028.5,0.0060765204834751785,37.0,13.5,48.0,2335.5,20.0,10.5,30.0,4342.5,155459584.0,0.5305819794884883,tket_bridge,24,0,0,0,0,0,pytket
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1494.5,1.2291666666666665,37.0,13.5,48.0,7028.5,0.006229291437193751,37.0,13.5,48.0,2335.5,20.0,10.5,30.0,4340.5,155459584.0,0.5364912084769458,zx_bridge,24,0,0,0,0,0,pytket
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,14389.5,1.2604166666666665,40.0,42.0,183.0,23892.0,0.020491812494583428,0.0,25.0,99.0,5076.0,80.0,30.0,120.0,18339.5,109518848.0,0.34414818754885346,contiguous_flat,24,0,0,0,0,0,pyzx
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,8088.5,2.520833333333333,40.0,42.0,183.0,23892.0,0.018514271010644734,0.0,25.0,99.0,5029.5,40.0,15.0,60.0,9039.5,109436928.0,0.3415597915300168,locally_folded_flat,24,0,0,0,0,0,pyzx
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,14368.5,1.2604166666666665,40.0,42.0,183.0,23892.0,0.02281864552060142,0.0,25.0,99.0,5003.0,80.0,25.5,120.0,18323.5,109461504.0,0.3488424585084431,masked_share_update,24,0,0,0,0,0,pyzx
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5372.0,5.708333333333334,40.0,42.0,183.0,23892.0,0.015638542012311518,0.0,25.0,99.0,4861.0,20.0,10.5,30.0,4342.5,109297664.0,0.3239609579904936,qasm_bridge,24,0,0,0,0,0,pyzx
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,14357.5,1.2604166666666665,40.0,42.0,183.0,23892.0,0.02174925000872463,0.0,25.0,99.0,5026.0,80.0,24.0,120.0,18345.0,109461504.0,0.34854781202739105,random_commuting_order,24,0,0,0,0,0,pyzx
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,14365.0,1.2604166666666665,40.0,42.0,183.0,23892.0,0.02245572948595509,0.0,25.0,99.0,5000.0,80.0,25.5,120.0,18337.5,109453312.0,0.34450958302477375,round_robin_flat,24,0,0,0,0,0,pyzx
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,5372.0,5.708333333333334,40.0,42.0,183.0,23892.0,0.015528874995652586,0.0,25.0,99.0,4861.0,20.0,10.5,30.0,4349.5,109150208.0,0.32179527048720047,semantic_aggregate,24,0,0,0,0,0,pyzx
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5372.0,5.708333333333334,40.0,42.0,183.0,23892.0,0.015443229582160711,0.0,25.0,99.0,4861.0,20.0,10.5,30.0,4342.5,109289472.0,0.3365009999834001,tket_bridge,24,0,0,0,0,0,pyzx
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5372.0,5.708333333333334,40.0,42.0,183.0,23892.0,0.01587106246734038,0.0,25.0,99.0,4861.0,20.0,10.5,30.0,4340.5,109322240.0,0.3492857499513775,zx_bridge,24,0,0,0,0,0,pyzx
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2229.5,0.25,20.0,10.5,30.0,4349.5,0.01233841700013727,20.0,10.5,30.0,4347.5,80.0,30.0,120.0,18339.5,110206976.0,0.3297793955425732,contiguous_flat,24,0,0,0,0,0,qiskit
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1131.0,0.5,20.0,10.5,30.0,4349.5,0.012090436997823417,20.0,10.5,30.0,4347.5,40.0,15.0,60.0,9039.5,110084096.0,0.32520858297357336,locally_folded_flat,24,0,0,0,0,0,qiskit
24,24,9,0.375,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,2231.0,0.875,28.0,24.0,42.0,6156.0,0.012491708039306104,28.0,24.0,42.0,6154.0,80.0,25.5,120.0,18323.5,110362624.0,0.3318234159378335,masked_share_update,9,0,0,15,0,0,qiskit
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,587.5,1.0,20.0,10.5,30.0,4349.5,0.011841979518067092,20.0,10.5,30.0,4347.5,20.0,10.5,30.0,4342.5,109961216.0,0.3236825835192576,qasm_bridge,24,0,0,0,0,0,qiskit
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,2229.5,0.6145833333333333,51.0,15.0,76.5,11452.5,0.013285042019560933,51.0,15.0,76.5,11450.5,80.0,24.0,120.0,18345.0,110288896.0,0.33816006249981,random_commuting_order,24,0,0,0,0,0,qiskit
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,2229.5,0.890625,70.0,25.5,105.0,15853.5,0.013433667016215622,70.0,25.5,105.0,15851.5,80.0,25.5,120.0,18337.5,110362624.0,0.34169822896365076,round_robin_flat,24,0,0,0,0,0,qiskit
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,587.5,1.0,20.0,10.5,30.0,4349.5,0.012173666502349079,20.0,10.5,30.0,4347.5,20.0,10.5,30.0,4349.5,110010368.0,0.3233673960203305,semantic_aggregate,24,0,0,0,0,0,qiskit
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,587.5,1.0,20.0,10.5,30.0,4349.5,0.012240499549079686,20.0,10.5,30.0,4347.5,20.0,10.5,30.0,4342.5,109969408.0,0.32400862500071526,tket_bridge,24,0,0,0,0,0,qiskit
24,24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,587.5,1.0,20.0,10.5,30.0,4349.5,0.01200625003548339,20.0,10.5,30.0,4347.5,20.0,10.5,30.0,4340.5,109977600.0,0.3240421874797903,zx_bridge,24,0,0,0,0,0,qiskit
