compiler,completed_cells,distinct_m,metric,model,r_squared,representation,scaling_exponent,standard_error
pyzx_full_reduce,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9686393595219854,qasm_bridge,1.012187676668501,0.053774917714310554
echo_passthrough,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9913947308869521,tket_bridge,0.8312462136594457,0.021102005804517817
full_aggregation,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9913947308869521,tket_bridge,0.8312462136594457,0.021102005804517817
qiskit_opt3,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.991929484816702,tket_bridge,0.8382327682981535,0.020605113496455784
tket_paulisimp,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.993031131807432,tket_bridge,0.9792119368681077,0.01947828813028992
pyzx_full_reduce,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9686393595219854,tket_bridge,1.012187676668501,0.053774917714310554
echo_passthrough,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9913947308869521,zx_bridge,0.8312462136594457,0.021102005804517817
full_aggregation,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9913947308869521,zx_bridge,0.8312462136594457,0.021102005804517817
qiskit_opt3,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.991929484816702,zx_bridge,0.8382327682981535,0.020605113496455784
tket_paulisimp,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.993031131807432,zx_bridge,0.9792119368681077,0.01947828813028992
pyzx_full_reduce,24,4,serialized_output_bytes,log2(metric) ~ log2(m) + target_slice + seed,0.9686393595219854,zx_bridge,1.012187676668501,0.053774917714310554
