workload,workload_class,matched_cells,primary_cells,all_completed_valid,primary_quality_no_worse_every_cell,primary_runtime_better_every_cell,gates_external_minus_authors_n,gates_external_minus_authors_mean,gates_external_minus_authors_median,gates_external_minus_authors_ci95_low,gates_external_minus_authors_ci95_high,depth_external_minus_authors_n,depth_external_minus_authors_mean,depth_external_minus_authors_median,depth_external_minus_authors_ci95_low,depth_external_minus_authors_ci95_high,cx_external_minus_authors_n,cx_external_minus_authors_mean,cx_external_minus_authors_median,cx_external_minus_authors_ci95_low,cx_external_minus_authors_ci95_high,logical_t_states_external_minus_authors_n,logical_t_states_external_minus_authors_mean,logical_t_states_external_minus_authors_median,logical_t_states_external_minus_authors_ci95_low,logical_t_states_external_minus_authors_ci95_high,spacetime_qubit_seconds_external_minus_authors_n,spacetime_qubit_seconds_external_minus_authors_mean,spacetime_qubit_seconds_external_minus_authors_median,spacetime_qubit_seconds_external_minus_authors_ci95_low,spacetime_qubit_seconds_external_minus_authors_ci95_high,runtime_s_external_minus_authors_n,runtime_s_external_minus_authors_mean,runtime_s_external_minus_authors_median,runtime_s_external_minus_authors_ci95_low,runtime_s_external_minus_authors_ci95_high,description_bits_external_minus_authors_n,description_bits_external_minus_authors_mean,description_bits_external_minus_authors_median,description_bits_external_minus_authors_ci95_low,description_bits_external_minus_authors_ci95_high,output_ir_bytes_external_minus_authors_n,output_ir_bytes_external_minus_authors_mean,output_ir_bytes_external_minus_authors_median,output_ir_bytes_external_minus_authors_ci95_low,output_ir_bytes_external_minus_authors_ci95_high,predeclared_positive_family_success
controlled_power_ladder,natural_positive,36,9,True,True,True,36,9.0,6.0,5.666666666666667,12.666666666666666,36,12.25,9.0,8.027777777777779,16.916666666666668,36,9.0,6.0,5.666666666666667,12.666666666666666,36,0.0,0.0,0.0,0.0,36,73.33050899999989,53.875475999999935,48.05559433333326,101.26594099999984,36,0.003261666502415513,0.002965249470435083,0.0028477230321085597,0.0036924925428239576,36,-981.3333333333334,-980.0,-1009.5555555555555,-953.7777777777778,36,126.0,84.0,79.33333333333333,177.33333333333334,True
diagonal_hamiltonian,natural_positive,36,9,True,True,True,36,38.0,23.5,25.860416666666666,51.77777777777778,36,29.916666666666668,28.0,20.527083333333334,40.47222222222222,36,38.0,23.5,25.860416666666666,51.77777777777778,36,0.0,0.0,0.0,0.0,36,203.7554449999996,167.61259199999995,139.0253491749998,274.97757751666614,36,0.013883722228153298,0.011624416511040181,0.011324600684343345,0.01655921979019897,36,-715.5555555555555,-876.0,-814.6666666666666,-607.1055555555555,36,532.8333333333334,330.5,362.8569444444444,726.0027777777777,True
negative_random_clifford_rz,negative_control,36,9,True,True,True,36,83.05555555555556,65.0,62.554861111111116,105.08472222222223,36,53.666666666666664,33.0,37.861111111111114,71.05555555555556,36,46.27777777777778,23.0,29.471527777777776,64.75,36,-595.1111111111111,-372.0,-756.0333333333333,-441.94444444444446,36,-2958.039218,-2788.1394,-3696.804237683333,-2240.5039439916663,36,0.0028473843089563567,0.0026486454880796373,0.0024932289501723268,0.0032173323442596788,36,-7616.888888888889,-5628.0,-9082.888888888889,-6212.36111111111,36,1011.1111111111111,723.0,746.2368055555555,1298.5743055555558,False
negative_routing_dominated,negative_control,36,9,True,False,True,36,41.333333333333336,46.0,36.638888888888886,45.75208333333334,36,10.166666666666666,16.0,5.472222222222222,14.305555555555555,36,-9.333333333333334,-7.0,-14.833333333333334,-3.9444444444444446,36,-270.0,-196.0,-345.0,-199.22222222222223,36,-1597.4778340000003,-706.367352,-2196.3871304833337,-1031.3245950833339,36,0.0021683992203583736,0.002169458079151809,0.0018906519129005676,0.0024321548383644163,36,-4002.6666666666665,-2456.0,-5540.0,-2553.3333333333335,36,518.6666666666666,617.5,436.5548611111111,595.9729166666666,False
phase_polynomial_blocks,natural_positive,36,9,True,False,True,36,-24.333333333333332,-16.5,-33.83402777777778,-16.332638888888884,36,-19.0,-14.0,-26.500694444444445,-12.777777777777779,36,-24.333333333333332,-16.5,-33.83402777777778,-16.332638888888884,36,0.0,0.0,0.0,0.0,36,-201.35591999999986,-101.76478800000018,-324.5547354916666,-105.49209082499965,36,0.013843974460744195,0.012304207950364798,0.011551709528511209,0.016212261629779175,36,525.7777777777778,700.0,326.8888888888889,714.9000000000001,36,-340.3888888888889,-230.5,-473.4534722222222,-228.32777777777775,False
qaoa_ising,natural_positive,36,9,True,True,True,36,44.72222222222222,35.5,33.69375,56.639583333333334,36,18.666666666666668,8.0,11.30486111111111,26.86180555555556,36,5.833333333333333,0.0,-0.16666666666666666,13.333333333333334,36,-191.22222222222223,0.0,-315.2263888888889,-82.33055555555553,36,-861.8541666666669,23.06250000000091,-1498.2350260416665,-289.3276041666663,36,0.009651960750084577,0.009451979422010481,0.007979172864320894,0.01147905572458209,36,-2536.0,-1496.0,-3264.672222222222,-1899.2944444444443,36,574.0555555555555,463.5,420.9145833333333,735.6680555555555,True
qft_arithmetic,natural_positive,36,9,True,False,True,36,8.055555555555555,8.0,1.8888888888888888,13.833333333333334,36,30.22222222222222,12.0,15.971527777777776,45.69444444444444,36,-6.277777777777778,0.0,-13.722222222222221,-0.6111111111111112,36,0.0,0.0,0.0,0.0,36,224.2519873333329,71.83396799999991,113.91745723333342,344.8875036666657,36,0.007047968764608312,0.003670334059279412,0.004826825714311175,0.00949601634452443,36,-4652.0,-3632.0,-5626.066666666667,-3725.9777777777776,36,98.44444444444444,100.0,13.386111111111113,176.01805555555563,False
qpe_controlled_powers,natural_positive,36,9,True,True,True,36,-12.0,0.0,-22.0,-3.0,36,3.3333333333333335,0.0,-0.3055555555555556,7.08402777777778,36,-12.0,0.0,-22.0,-3.0,36,0.0,0.0,0.0,0.0,36,19.953880000000066,0.0,-1.8291056666665846,42.40615205833341,36,0.0018898912175144586,0.0019482285133562982,0.0016802207288694464,0.0020991594577531537,36,-2933.3333333333335,-2640.0,-3304.0,-2586.6666666666665,36,-168.0,0.0,-308.0,-42.0,True
trotter_commuting_blocks,natural_positive,36,9,True,True,True,36,33.0,30.5,17.580555555555556,48.166666666666664,36,-26.63888888888889,3.0,-47.83402777777778,-8.193749999999998,36,-30.0,0.0,-50.5,-13.333333333333334,36,13.0,-88.0,-240.27777777777777,293.06111111111113,36,-2386.306477,-784.1249999999991,-5517.276923166667,547.6478403999992,36,0.0161115984341854,0.013926562503911555,0.013203112269548001,0.019183503866871534,36,-2329.777777777778,-1392.0,-3275.9166666666665,-1464.638888888889,36,407.05555555555554,371.0,194.54930555555555,617.8722222222223,True
