effect,factor,workload_class,metric,sign_convention,n,mean,median,ci95_low,ci95_high
main,selector,negative_control,description_bits,off_minus_on; positive is reduction,2304,16.0,16.0,15.333333333333334,16.666666666666668
main,selector,negative_control,output_ir_bytes,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,cache_reuse,natural_positive,gates,off_minus_on; positive is reduction,8064,0.0,0.0,0.0,0.0
main,cache_reuse,natural_positive,depth,off_minus_on; positive is reduction,8064,0.0,0.0,0.0,0.0
main,cache_reuse,natural_positive,cx,off_minus_on; positive is reduction,8064,0.0,0.0,0.0,0.0
main,cache_reuse,natural_positive,logical_t_states,off_minus_on; positive is reduction,8064,0.0,0.0,0.0,0.0
main,cache_reuse,natural_positive,spacetime_qubit_seconds,off_minus_on; positive is reduction,8064,0.0,0.0,0.0,0.0
main,cache_reuse,natural_positive,runtime_s,off_minus_on; positive is reduction,8064,0.00016424845298821484,4.241644637659192e-05,0.00014952461551368448,0.0001796030010039445
main,cache_reuse,natural_positive,description_bits,off_minus_on; positive is reduction,8064,0.0,0.0,0.0,0.0
main,cache_reuse,natural_positive,output_ir_bytes,off_minus_on; positive is reduction,8064,0.0,0.0,0.0,0.0
main,cache_reuse,negative_control,gates,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,cache_reuse,negative_control,depth,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,cache_reuse,negative_control,cx,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,cache_reuse,negative_control,logical_t_states,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,cache_reuse,negative_control,spacetime_qubit_seconds,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,cache_reuse,negative_control,runtime_s,off_minus_on; positive is reduction,2304,-2.0445859617110626e-05,-1.064653042703867e-05,-4.7057680309434445e-05,6.681524066860022e-06
main,cache_reuse,negative_control,description_bits,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,cache_reuse,negative_control,output_ir_bytes,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,preset_recognizer,natural_positive,gates,off_minus_on; positive is reduction,8064,364.906746031746,81.0,349.7535125248016,380.48216765873013
main,preset_recognizer,natural_positive,depth,off_minus_on; positive is reduction,8064,243.0029761904762,72.0,232.84577132936508,253.62316158234128
main,preset_recognizer,natural_positive,cx,off_minus_on; positive is reduction,8064,309.47222222222223,70.0,295.82686631944443,323.6531187996032
main,preset_recognizer,natural_positive,logical_t_states,off_minus_on; positive is reduction,8064,5153.376984126984,2024.0,4974.388191344246,5336.908795262897
main,preset_recognizer,natural_positive,spacetime_qubit_seconds,off_minus_on; positive is reduction,8064,35786.84051191667,11182.949916,34473.00577326946,37095.23989711488
main,preset_recognizer,natural_positive,runtime_s,off_minus_on; positive is reduction,8064,0.0001474338189129614,-0.00013241649139672518,0.00012136499789528263,0.00017458320993292938
main,preset_recognizer,natural_positive,description_bits,off_minus_on; positive is reduction,8064,19080.825396825396,7728.0,18456.37822420635,19719.469618055555
main,preset_recognizer,natural_positive,output_ir_bytes,off_minus_on; positive is reduction,8064,5396.027777777777,1315.5,5176.647501240079,5624.041564360119
main,preset_recognizer,negative_control,gates,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,preset_recognizer,negative_control,depth,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,preset_recognizer,negative_control,cx,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,preset_recognizer,negative_control,logical_t_states,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,preset_recognizer,negative_control,spacetime_qubit_seconds,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,preset_recognizer,negative_control,runtime_s,off_minus_on; positive is reduction,2304,-8.577612334192963e-06,3.311957698315382e-06,-3.452845525341925e-05,1.73612299034984e-05
main,preset_recognizer,negative_control,description_bits,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,preset_recognizer,negative_control,output_ir_bytes,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,projected_block_selection,natural_positive,gates,off_minus_on; positive is reduction,8064,0.0,0.0,0.0,0.0
main,projected_block_selection,natural_positive,depth,off_minus_on; positive is reduction,8064,0.0,0.0,0.0,0.0
main,projected_block_selection,natural_positive,cx,off_minus_on; positive is reduction,8064,0.0,0.0,0.0,0.0
main,projected_block_selection,natural_positive,logical_t_states,off_minus_on; positive is reduction,8064,0.0,0.0,0.0,0.0
main,projected_block_selection,natural_positive,spacetime_qubit_seconds,off_minus_on; positive is reduction,8064,0.0,0.0,0.0,0.0
main,projected_block_selection,natural_positive,runtime_s,off_minus_on; positive is reduction,8064,0.00018126159741927589,8.777005132287741e-05,0.0001679168096816717,0.00019479638336265668
main,projected_block_selection,natural_positive,description_bits,off_minus_on; positive is reduction,8064,0.0,0.0,0.0,0.0
main,projected_block_selection,natural_positive,output_ir_bytes,off_minus_on; positive is reduction,8064,0.0,0.0,0.0,0.0
main,projected_block_selection,negative_control,gates,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,projected_block_selection,negative_control,depth,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,projected_block_selection,negative_control,cx,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,projected_block_selection,negative_control,logical_t_states,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,projected_block_selection,negative_control,spacetime_qubit_seconds,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,projected_block_selection,negative_control,runtime_s,off_minus_on; positive is reduction,2304,2.958414420896184e-06,1.6375037375837564e-05,-2.3663573212060225e-05,2.8982882108468607e-05
main,projected_block_selection,negative_control,description_bits,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
main,projected_block_selection,negative_control,output_ir_bytes,off_minus_on; positive is reduction,2304,0.0,0.0,0.0,0.0
