schema,campaign_id,target_id,requested_gates,pipeline_id,pipeline_category,status,seed,epsilon_total,epsilon_algorithmic,epsilon_synthesis,epsilon_logical,allocated_total,realized_algorithmic_error_bound,realized_total_error_bound,epsilon_total_slack,qec_profile,physical_error_rate,cycle_time_seconds,certificate_sha256,certificate_kind,certificate_dense_passed,certificate_symbolic_status,compile_runtime_s,logical_qubits,output_gates,output_depth,output_cx,logical_rotations,bridge_format,bridge_input_gates,bridge_input_bytes,semantic_recovery_before_synthesis,allocation_policy,logical_t_states,allocated_synthesis_error,reported_synthesis_error_union_bound,allocation_steps,equal_decimal_precision,code_distance,clifford_cycles,factory_cycles,cycles,logical_error_per_patch_cycle,data_logical_failure_bound,factory_logical_failure_bound,distillation_failure_bound,logical_failure_bound,factory_profile,requested_factories,factories,data_physical_qubits,factory_physical_qubits,physical_qubits,runtime_seconds,spacetime_qubit_cycles,spacetime_qubit_seconds,pareto_qubits_runtime,bridge_output_bytes
ucc.qre.campaign-results.v1,w7-fixed-total-error-20260803-local,hdiag-4000,4000,semantic_first,semantic-first,completed_valid,20260803,0.001,0.0001,0.00045000000000000004,0.00045000000000000004,0.001,0.0001,0.0007198440000000001,0.00028015599999999994,surface_code_conservative,0.001,1e-06,84219116c634ea0f5fc37ffaadf52208a6c49fa11ec33285028edacbc968d866,exact_commuting_pauli_clifford_canonical_v1,True,completed_valid,11.168826792039908,4,42,24,12,22,native Qiskit semantic circuit,3998,74723,True,t_cost_greedy,736,0.0004,0.00028573865700000004,1,5,17,408,8602,9010,1.0000000000000006e-10,3.604000000000002e-06,0.0002162400000000001,2.5760000000000044e-26,0.00021984400000000013,parallel_16,16,16,2312,138720,141032,0.009009999999999999,1270698320,1270.6983199999997,True,
ucc.qre.campaign-results.v1,w7-fixed-total-error-20260803-local,hdiag-4000,4000,semantic_first,semantic-first,completed_valid,20260803,0.001,0.0001,0.00045000000000000004,0.00045000000000000004,0.001,0.0001,0.0007279156000000002,0.00027208439999999983,surface_code_conservative,0.001,1e-06,84219116c634ea0f5fc37ffaadf52208a6c49fa11ec33285028edacbc968d866,exact_commuting_pauli_clifford_canonical_v1,True,completed_valid,11.168826792039908,4,42,24,12,22,native Qiskit semantic circuit,3998,74723,True,t_cost_greedy,736,0.0004,0.00028573865700000004,1,5,17,408,4301,4709,1.0000000000000006e-10,1.8836000000000011e-06,0.00022603200000000012,2.5760000000000044e-26,0.00022791560000000013,parallel_32,32,32,2312,277440,279752,0.004709,1317352168,1317.352168,True,
ucc.qre.campaign-results.v1,w7-fixed-total-error-20260803-local,hdiag-4000,4000,semantic_first,semantic-first,completed_valid,20260803,0.001,0.0001,0.00045000000000000004,0.00045000000000000004,0.001,0.0001,0.00050957312,0.00049042688,surface_code_improved,0.0001,5e-07,84219116c634ea0f5fc37ffaadf52208a6c49fa11ec33285028edacbc968d866,exact_commuting_pauli_clifford_canonical_v1,True,completed_valid,11.168826792039908,4,42,24,12,22,native Qiskit semantic circuit,3998,74723,True,t_cost_greedy,736,0.0004,0.00028573865700000004,1,5,9,216,59616,59832,1.0000000000000003e-11,2.3932800000000007e-06,7.179840000000002e-06,2.576000000000002e-29,9.573120000000003e-06,serial_1,1,1,648,1944,2592,0.029915999999999998,155084544,77.542272,True,
ucc.qre.campaign-results.v1,w7-fixed-total-error-20260803-local,hdiag-4000,4000,semantic_first,semantic-first,completed_valid,20260803,0.001,0.0001,0.00045000000000000004,0.00045000000000000004,0.001,0.0001,0.0005078624,0.0004921376,surface_code_improved,0.0001,5e-07,84219116c634ea0f5fc37ffaadf52208a6c49fa11ec33285028edacbc968d866,exact_commuting_pauli_clifford_canonical_v1,True,completed_valid,11.168826792039908,4,42,24,12,22,native Qiskit semantic circuit,3998,74723,True,t_cost_greedy,736,0.0004,0.00028573865700000004,1,5,9,216,14904,15120,1.0000000000000003e-11,6.048000000000001e-07,7.257600000000002e-06,2.576000000000002e-29,7.862400000000003e-06,modest_4,4,4,648,7776,8424,0.00756,127370880,63.68544,True,
ucc.qre.campaign-results.v1,w7-fixed-total-error-20260803-local,hdiag-4000,4000,semantic_first,semantic-first,completed_valid,20260803,0.001,0.0001,0.00045000000000000004,0.00045000000000000004,0.001,0.0001,0.00050772632,0.00049227368,surface_code_improved,0.0001,5e-07,84219116c634ea0f5fc37ffaadf52208a6c49fa11ec33285028edacbc968d866,exact_commuting_pauli_clifford_canonical_v1,True,completed_valid,11.168826792039908,4,42,24,12,22,native Qiskit semantic circuit,3998,74723,True,t_cost_greedy,736,0.0004,0.00028573865700000004,1,5,9,216,3726,3942,1.0000000000000003e-11,1.5768000000000005e-07,7.568640000000002e-06,2.576000000000002e-29,7.726320000000002e-06,parallel_16,16,16,648,31104,31752,0.001971,125166384,62.583192000000004,True,
ucc.qre.campaign-results.v1,w7-fixed-total-error-20260803-local,hdiag-4000,4000,semantic_first,semantic-first,completed_valid,20260803,0.001,0.0001,0.00045000000000000004,0.00045000000000000004,0.001,0.0001,0.00050806652,0.00049193348,surface_code_improved,0.0001,5e-07,84219116c634ea0f5fc37ffaadf52208a6c49fa11ec33285028edacbc968d866,exact_commuting_pauli_clifford_canonical_v1,True,completed_valid,11.168826792039908,4,42,24,12,22,native Qiskit semantic circuit,3998,74723,True,t_cost_greedy,736,0.0004,0.00028573865700000004,1,5,9,216,1863,2079,1.0000000000000003e-11,8.316000000000002e-08,7.983360000000003e-06,2.576000000000002e-29,8.066520000000003e-06,parallel_32,32,32,648,62208,62856,0.0010395,130677624,65.338812,True,
ucc.qre.campaign-results.v1,w7-fixed-total-error-20260803-local,hdiag-4000,4000,semantic_first,semantic-first,completed_valid,20260803,1e-06,1e-07,4.5e-07,4.5e-07,1e-06,1e-07,3.8333650000000005e-07,6.166634999999999e-07,surface_code_conservative,0.001,1e-06,84219116c634ea0f5fc37ffaadf52208a6c49fa11ec33285028edacbc968d866,exact_commuting_pauli_clifford_canonical_v1,True,completed_valid,11.168826792039908,4,42,24,12,22,native Qiskit semantic circuit,3998,74723,True,equal_decimal,1210,2.2e-07,1.08625036e-07,0,8,25,600,332750,333350,1.0000000000000008e-14,1.333400000000001e-08,5.000250000000004e-08,4.2350000000000104e-38,6.333650000000005e-08,serial_1,1,1,5000,18750,23750,0.33335,7917062500,7917.062499999999,True,
ucc.qre.campaign-results.v1,w7-fixed-total-error-20260803-local,hdiag-4000,4000,semantic_first,semantic-first,completed_valid,20260803,1e-06,1e-07,4.5e-07,4.5e-07,1e-06,1e-07,3.7371200000000003e-07,6.262879999999999e-07,surface_code_conservative,0.001,1e-06,84219116c634ea0f5fc37ffaadf52208a6c49fa11ec33285028edacbc968d866,exact_commuting_pauli_clifford_canonical_v1,True,completed_valid,11.168826792039908,4,42,24,12,22,native Qiskit semantic circuit,3998,74723,True,equal_decimal,1210,2.2e-07,1.08625036e-07,0,8,25,600,83325,83925,1.0000000000000008e-14,3.3570000000000028e-09,5.035500000000004e-08,4.2350000000000104e-38,5.3712000000000044e-08,modest_4,4,4,5000,75000,80000,0.083925,6714000000,6714.0,True,
ucc.qre.campaign-results.v1,w7-fixed-total-error-20260803-local,hdiag-4000,4000,semantic_first,semantic-first,completed_valid,20260803,1e-06,1e-07,4.5e-07,4.5e-07,1e-06,1e-07,3.7246000000000004e-07,6.2754e-07,surface_code_conservative,0.001,1e-06,84219116c634ea0f5fc37ffaadf52208a6c49fa11ec33285028edacbc968d866,exact_commuting_pauli_clifford_canonical_v1,True,completed_valid,11.168826792039908,4,42,24,12,22,native Qiskit semantic circuit,3998,74723,True,equal_decimal,1210,2.2e-07,1.08625036e-07,0,8,25,600,20900,21500,1.0000000000000008e-14,8.600000000000006e-10,5.160000000000004e-08,4.2350000000000104e-38,5.246000000000004e-08,parallel_16,16,16,5000,300000,305000,0.0215,6557500000,6557.499999999999,True,
ucc.qre.campaign-results.v1,w7-fixed-total-error-20260803-local,hdiag-4000,4000,semantic_first,semantic-first,completed_valid,20260803,1e-06,1e-07,4.5e-07,4.5e-07,1e-06,1e-07,3.7348200000000004e-07,6.265179999999999e-07,surface_code_conservative,0.001,1e-06,84219116c634ea0f5fc37ffaadf52208a6c49fa11ec33285028edacbc968d866,exact_commuting_pauli_clifford_canonical_v1,True,completed_valid,11.168826792039908,4,42,24,12,22,native Qiskit semantic circuit,3998,74723,True,equal_decimal,1210,2.2e-07,1.08625036e-07,0,8,25,600,10450,11050,1.0000000000000008e-14,4.4200000000000033e-10,5.3040000000000043e-08,4.2350000000000104e-38,5.348200000000004e-08,parallel_32,32,32,5000,600000,605000,0.011049999999999999,6685250000,6685.249999999999,True,
